Stocks
AAPL
MSFT
GOOGL
GOOG
AMZN
BRK-B
UNH
JNJ
XOM
NVDA
WMT
JPM
PG
LLY
MA
HD
CVX
PFE
ABBV
MRK
KO
BAC
PEP
TMO
AVGO
COST
ORCL
MCD
CSCO
DHR
ABT
ACN
TSLA
TMUS
NKE
DIS
LIN
WFC
BMY
NEE
TXN
MS
PM
VZ
UPS
ADBE
CMCSA
SCHW
AMGN
RTX
HON
NFLX
COP
T
LOW
UNP
CVS
LMT
QCOM
IBM
DE
CRM
GS
CAT
AXP
INTC
INTU
AMD
GILD
BA
ADP
BLK
MDT
CI
AMT
ISRG
MDLZ
TJX
AMAT
SYK
CB
GE
C
EL
PYPL
MMC
PLD
ADI
MO
SPGI
NOC
REGN
VRTX
BKNG
NOW
DUK
PGR
HCA
TGT
ZTS
SO
MRNA
EOG
BDX
WM
APD
MMM
GD
ITW
HUM
FISV
SHW
BSX
CSX
SLB
MPC
PNC
CL
CME
USB
LRCX
AON
ETN
MU
EQIX
MET
CCI
KLAC
NSC
CHTR
ATVI
OXY
ICE
MCK
FCX
DG
TFC
EMR
ORLY
GM
KDP
MCO
MNST
F
MAR
PXD
PSA
GIS
SRE
ADM
SNPS
AEP
KHC
CNC
HSY
D
VLO
APH
AIG
JCI
EW
AZO
CTAS
KMB
TRV
FDX
ROP
NXPI
A
CTVA
DXCM
CDNS
MSI
STZ
AFL
PAYX
ENPH
ECL
RSG
PSX
FIS
CMG
LHX
SYY
MCHP
NUE
ADSK
TT
BIIB
MSCI
ROST
EXC
AJG
HES
IQV
TEL
WMB
KMI
ANET
DVN
SPG
PRU
HLT
XEL
YUM
PH
DOW
NEM
O
LVS
BK
COF
CARR
DD
IDXX
EA
PCAR
PCG
WBA
ED
KR
AMP
ALL
TDG
ODFL
CMI
ABC
MTD
OTIS
KEYS
CSGP
BF-B
ILMN
DLTR
RMD
AME
DLR
SBAC
PPG
HPQ
ON
CPRT
GWW
PEG
CTSH
WEC
ROK
ALB
HAL
VRSK
DHI
CEG
FAST
WELL
ES
STT
AWK
GPN
OKE
IT
DFS
GLW
TROW
BKR
EBAY
IFF
LYB
LEN
BAX
ZBH
GPC
URI
ULTA
HRL
HIG
APTV
CDW
EIX
TSCO
K
ARE
VMC
EFX
CBRE
AVB
FE
WY
FANG
FTV
EQR
ETR
RJF
PFG
TSN
AEE
MKC
DTE
LUV
FITB
LH
MLM
ACGL
VRSN
PPL
IR
DAL
HBAN
VICI
PWR
ANSS
RF
FRC
EXR
HPE
WAT
MRO
CAH
XYL
MOH
DOV
CFG
WRB
CHD
EPAM
MTB
CF
CTRA
SYF
STE
CNP
AES
ROL
TDY
PAYC
INVH
WAB
JBHT
MAA
HOLX
AMCR
CLX
EXPD
GRMN
DGX
NTRS
CAG
INCY
VTR
BBY
CMS
IEX
MPWR
WST
PKI
FOX
DRI
MOS
FOXA
ABMD
MGM
FDS
BALL
SJM
BR
CPB
CINF
ATO
SEDG
BRO
HWM
KEY
NVR
LYV
OMC
ETSY
FMC
TXT
IRM
TRGP
J
SWKS
LKQ
COO
TER
LDOS
FLT
ALGN
TRMB
EVRG
AVY
L
RCL
NTAP
PTC
EXPE
AKAM
ESS
IP
UAL
LNT
PEAK
NDSN
EQT
APA
JKHY
ZBRA
KIM
BEN
POOL
TYL
CBOE
DPZ
RE
VTRS
SIVB
SWK
PKG
TECH
HST
IPG
SNA
LW
CPT
MTCH
UDR
BIO
STX
MAS
TTWO
GL
TFX
CCL
EMN
TAP
HSIC
REG
CHRW
WDC
PHM
CE
VFC
NWS
QRVO
NI
NWSA
CRL
MKTX
CZR
NDAQ
JNPR
BXP
KMX
UHS
TPR
CDAY
WYNN
BBWI
ALLE
BWA
WRK
HII
FFIV
AOS
AAL
PNW
WHR
AAP
CMA
FTNT
IVZ
FRT
HAS
FBHS
RHI
CTLT
RL
NRG
DISH
SEE
PNR
ZION
SBNY
AIZ
OGN
MHK
DVA
DXC
XRAY
NCLH
GNRC
LNC
NWL
ALK
LUMN
VNO
